
URN: urn:cts:latinLit:phi0134.phi002	 XML: 1999.02.0089.xml
URN: urn:cts:latinLit:phi0134.phi003	 XML: 1999.02.0088.xml
URN: urn:cts:latinLit:phi0134.phi001	 XML: 1999.02.0087.xml
URN: urn:cts:latinLit:stoa0203.stoa001	 XML: 2008.01.0569.xml
URN: urn:cts:latinLit:phi1035.phi001	 XML: 2007.01.0058.xml
URN: urn:cts:latinLit:phi1038.phi001	 XML: 2008.01.0675.xml
URN: urn:cts:greekLit:tlg0284.tlg056	 XML: 2008.01.0589.xml
URN: urn:cts:greekLit:tlg0014.tlg027	 XML: 1999.01.0073.xml
URN: urn:cts:greekLit:tlg0014.tlg026	 XML: 1999.01.0073.xml
URN: urn:cts:greekLit:tlg0014.tlg029	 XML: 1999.01.0073.xml
URN: urn:cts:greekLit:tlg0014.tlg028	 XML: 1999.01.0073.xml
URN: urn:cts:greekLit:tlg0014.tlg023	 XML: 1999.01.0073.xml
URN: urn:cts:greekLit:tlg0014.tlg022	 XML: 1999.01.0073.xml
URN: urn:cts:greekLit:tlg0014.tlg025	 XML: 1999.01.0073.xml
URN: urn:cts:greekLit:tlg0014.tlg024	 XML: 1999.01.0073.xml
URN: urn:cts:greekLit:tlg0014.tlg021	 XML: 1999.01.0073.xml
URN: urn:cts:greekLit:tlg0014.tlg020	 XML: 1999.01.0071.xml
URN: urn:cts:greekLit:tlg0014.tlg062	 XML: 1999.01.0067.xml
URN: urn:cts:greekLit:tlg0014.tlg039	 XML: 1999.01.0075.xml
URN: urn:cts:greekLit:tlg0014.tlg038	 XML: 1999.01.0075.xml
URN: urn:cts:greekLit:tlg0014.tlg037	 XML: 1999.01.0075.xml
URN: urn:cts:greekLit:tlg0014.tlg036	 XML: 1999.01.0075.xml
URN: urn:cts:greekLit:tlg0014.tlg035	 XML: 1999.01.0075.xml
URN: urn:cts:greekLit:tlg0014.tlg034	 XML: 1999.01.0075.xml
URN: urn:cts:greekLit:tlg0014.tlg033	 XML: 1999.01.0075.xml
URN: urn:cts:greekLit:tlg0014.tlg032	 XML: 1999.01.0075.xml
URN: urn:cts:greekLit:tlg0014.tlg031	 XML: 1999.01.0075.xml
URN: urn:cts:greekLit:tlg0014.tlg030	 XML: 1999.01.0073.xml
URN: urn:cts:greekLit:tlg0014.tlg049	 XML: 1999.01.0077.xml
URN: urn:cts:greekLit:tlg0014.tlg048	 XML: 1999.01.0077.xml
URN: urn:cts:greekLit:tlg0014.tlg001	 XML: 1999.01.0069.xml
URN: urn:cts:greekLit:tlg0014.tlg002	 XML: 1999.01.0069.xml
URN: urn:cts:greekLit:tlg0014.tlg003	 XML: 1999.01.0069.xml
URN: urn:cts:greekLit:tlg0014.tlg004	 XML: 1999.01.0069.xml
URN: urn:cts:greekLit:tlg0014.tlg041	 XML: 1999.01.0077.xml
URN: urn:cts:greekLit:tlg0014.tlg005	 XML: 1999.01.0069.xml
URN: urn:cts:greekLit:tlg0014.tlg040	 XML: 1999.01.0075.xml
URN: urn:cts:greekLit:tlg0014.tlg006	 XML: 1999.01.0069.xml
URN: urn:cts:greekLit:tlg0014.tlg043	 XML: 1999.01.0077.xml
URN: urn:cts:greekLit:tlg0014.tlg007	 XML: 1999.01.0069.xml
URN: urn:cts:greekLit:tlg0014.tlg042	 XML: 1999.01.0077.xml
URN: urn:cts:greekLit:tlg0014.tlg008	 XML: 1999.01.0069.xml
URN: urn:cts:greekLit:tlg0014.tlg045	 XML: 1999.01.0077.xml
URN: urn:cts:greekLit:tlg0014.tlg009	 XML: 1999.01.0069.xml
URN: urn:cts:greekLit:tlg0014.tlg044	 XML: 1999.01.0077.xml
URN: urn:cts:greekLit:tlg0014.tlg047	 XML: 1999.01.0077.xml
URN: urn:cts:greekLit:tlg0014.tlg046	 XML: 1999.01.0077.xml
URN: urn:cts:greekLit:tlg0014.tlg050	 XML: 1999.01.0077.xml
URN: urn:cts:greekLit:tlg0014.tlg010	 XML: 1999.01.0069.xml
URN: urn:cts:greekLit:tlg0014.tlg059	 XML: 1999.01.0079.xml
URN: urn:cts:greekLit:tlg0014.tlg013	 XML: 1999.01.0071.xml
URN: urn:cts:greekLit:tlg0014.tlg014	 XML: 1999.01.0071.xml
URN: urn:cts:greekLit:tlg0014.tlg011	 XML: 1999.01.0071.xml
URN: urn:cts:greekLit:tlg0014.tlg012	 XML: 1999.01.0071.xml
URN: urn:cts:greekLit:tlg0014.tlg054	 XML: 1999.01.0079.xml
URN: urn:cts:greekLit:tlg0014.tlg017	 XML: 1999.01.0071.xml
URN: urn:cts:greekLit:tlg0014.tlg053	 XML: 1999.01.0079.xml
URN: urn:cts:greekLit:tlg0014.tlg018	 XML: 1999.01.0071.xml
URN: urn:cts:greekLit:tlg0014.tlg052	 XML: 1999.01.0079.xml
URN: urn:cts:greekLit:tlg0014.tlg015	 XML: 1999.01.0071.xml
URN: urn:cts:greekLit:tlg0014.tlg051	 XML: 1999.01.0079.xml
URN: urn:cts:greekLit:tlg0014.tlg016	 XML: 1999.01.0071.xml
URN: urn:cts:greekLit:tlg0014.tlg058	 XML: 1999.01.0079.xml
URN: urn:cts:greekLit:tlg0014.tlg057	 XML: 1999.01.0079.xml
URN: urn:cts:greekLit:tlg0014.tlg019	 XML: 1999.01.0071.xml
URN: urn:cts:greekLit:tlg0014.tlg055	 XML: 1999.01.0079.xml
URN: urn:cts:greekLit:tlg0014.tlg060	 XML: 1999.01.0079.xml
URN: urn:cts:greekLit:tlg0014.tlg061	 XML: 1999.01.0079.xml
URN: urn:cts:greekLit:tlg0013.tlg027	 XML: 1999.01.0137.xml
URN: urn:cts:greekLit:tlg0013.tlg001	 XML: 1999.01.0137.xml
URN: urn:cts:greekLit:tlg0013.tlg004	 XML: 1999.01.0137.xml
URN: urn:cts:greekLit:tlg0013.tlg005	 XML: 1999.01.0137.xml
URN: urn:cts:greekLit:tlg0013.tlg006	 XML: 1999.01.0137.xml
URN: urn:cts:greekLit:tlg0013.tlg007	 XML: 1999.01.0137.xml
URN: urn:cts:greekLit:tlg0013.tlg008	 XML: 1999.01.0137.xml
URN: urn:cts:greekLit:tlg0013.tlg019	 XML: 1999.01.0137.xml
URN: urn:cts:greekLit:tlg0012.tlg001	 XML: 1999.01.0133.xml
URN: urn:cts:greekLit:tlg0012.tlg002	 XML: 1999.01.0135.xml
URN: urn:cts:greekLit:tlg0011.tlg001	 XML: 1999.01.0195.xml
URN: urn:cts:greekLit:tlg0011.tlg002	 XML: 1999.01.0185.xml
URN: urn:cts:greekLit:tlg0011.tlg003	 XML: 1999.01.0183.xml
URN: urn:cts:greekLit:tlg0011.tlg004	 XML: 1999.01.0191.xml
URN: urn:cts:greekLit:tlg0011.tlg005	 XML: 1999.01.0187.xml
URN: urn:cts:greekLit:tlg0011.tlg006	 XML: 1999.01.0193.xml
URN: urn:cts:greekLit:tlg0011.tlg007	 XML: 1999.01.0189.xml
